22,miR160a-5p,CRISPR/Cas9-mediated fine-tuning of miRNA expression in tetraploid potato,1.Tuning of SlARF10A dosage by sly-miR160a is critical for auxin-mediated compound leaf and flower development. https://pubmed.ncbi.nlm.nih.gov/30144341/,Lukan et al.2022
23,miR160a-5p,Investigating effect of miR160 through overexpression in potato cultivars under single or combination of heat and drought stresses,1.The positive feedback regulatory loop of miR160-Auxin Response Factor 17-HYPONASTIC LEAVES 1 mediates drought tolerance in apple trees. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8896624/, Sanli et al.2021
24,miRNA 160 ,Generation of miRNA160 and miR166 endogenous Target Mimicry (eTM) transgenic lines in potato and their assessment against Phytophthora interactions.,1.gma-miR398c negatively regulates drought tolerance of plants through GmCSDs and GmCCS in transgenic Arabidopsis and soybean. https://link.springer.com/article/10.1186/s12870-020-02370-y,Yang et al.2021
25,"ST4.03ch01,ST4.03ch02",to identify novel miRNAs and miRNAs targeting polyphenol oxidase (PPO) in potato.,1.A MicroRNA as a Translational Repressor of APETALA2 in Arabidopsis Flower Development.https://www.science.org/doi/abs/10.1126/science.1088060,Chi et al.2015
26,"The amiRNA sequences were incorporated in an Arabidopsis thaliana miR168a gene backbone built in a plant binary vector.
The amiRNA include
amiRPPO1",Reduced polyphenol oxidase gene expression and enzymatic browning in potato (Solanum tuberosum L.) with artificial microRNAs,1.Rapid assessment of gene function in the circadian clock using artificial microRNA in Arabidopsis mesophyll protoplasts.https://pubmed.ncbi.nlm.nih.gov/20709829/,Chi et al.2014
27,miR160a/b,Knockdown of MicroRNA160a/b by STTM leads to root architecture changes via auxin signaling in Solanum tuberosum,1.      MicroRNA160 Modulates Plant Development and Heat Shock Protein Gene Expression to Mediate Heat Tolerance in Arabidopsis. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5799662/,Yang et al.2021
28, miR811, Identification of novel and conserved microRNAs related to drought stress in potato by deep sequencing,1. number of miRNAs also have been identified as being involved in response to drought stress in some plant species such as Arabidopsis thaliana.https://www.sciencedirect.com/science/article/pii/S0014579305009397,Zang et al.2014
29,miR172,quantification of miR172 in the leaves of StSUT4-silenced and leaves of StSUT4-overexpressing plants in comparison to wild type plants.,"1.      In turn, in Arabidopsis, the involvement of miR156 and miR172 and their appropriate target genes in the induction of flowering under long day (LD) conditions is well investigated. Recent advances showed that the level of miR172 and miR156 which both are involved in regulating the transitions between developmental stages, i.e., from the juvenile to adult stage as well as in the transition from the vegetative to the generative phase seem to be sugar dependent in feeding experiments .It has been shown that miR156 is repressed by glucose, as well as by sucrose. It is also shown in Arabidopsis that the age-dependent miR156 integrates sugar-dependent information about the nutritional status of the plant via the signaling molecule trehalose-6-phosphate with the age pathway for flower induction .                          2.Over-Expression of GmGIa-Regulated Soybean miR172a Confers Early Flowering in Transgenic Arabidopsis thaliana. https://www.mdpi.com/1422-0067/17/5/645",Garg et al.2014
30,stu-miR8006-p5-1ss9AT,Comparative Study of Small-RNA and Degradome Sequencing Reveals Role of Novel stu-miR8006 in Regulating Root Development in Solanum tuberosum L.,nil,Duan et al.2024
31,miR390,"miR390 downregulates StCDPK1, affecting StPIN4","1.miR390, Arabidopsis TAS3 tasiRNAs, and their AUXIN RESPONSE FACTOR targets define an autoregulatory network quantitatively regulating lateral root growth. https://pubmed.ncbi.nlm.nih.gov/20363771/#:~:text=In%20addition%2C%20ARF2%2C%20ARF3%2C,regulate%20organ%20growth%20during%20development",Santin et al.2016
32,miR172,microRNAs related to proline accumulation under drought stress in potato,"1.Despite of this, mainly research of them was focused on model plants, such as Arabidopsis thaliana and rice (Oryza sativa) (Bartel and Bartel, 2003, Bonnet et al., 2004, Sunkar et al., 2005, Griffiths-Jones et al., 2006). A).",Yang et al.2013
33,miR8788,Phytophthora infestans Ago1-associated miRNA promotes potato late blight disease,nil,Hu et al.2021
34,MiRNA160,MiRNA160 is associated with local defense and systemic acquired resistance against Phytophthora infestans infection in potato,"1.Arabidopsis miR160, miR398, and miR773 were shown to be associated with PTI. https://academic.oup.com/plphys/article/152/4/2222/6108514", Natarajan et al.2018
35,miR482e,Overexpression of potato miR482e enhanced plant sensitivity to Verticillium dahliae infection,nil,Yang et al.2015
36,miR828,Potato miR828 Is Associated With Purple Tuber Skin and Flesh Color,"1.      In A. thaliana, over-expression of miR828 resulted in reduced expression levels of MYB transcription factors and lower levels of anthocyanins. https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2018.01742/full",Bonar et al.2018
37,MicroR408,MicroR408 regulates defense response upon wounding in sweet potato,"1.      The expression levels of miR159, miR160, miR167, miR396, miR403, miR408, and miR828 are increased in tobacco during wounding, and those of miR156, miR164, miR166, miR168, miR171, miR172, miR319, miR390, miR393, miR394, and miR398 are enhanced particularly when herbivores attack.       https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6322576/",Kuo et al.2018
38,MicroRNA160,MicroRNA160 regulates leaf curvature in potato (Solanum tuberosum L. cv. Désirée),1.      previous studies in Arabidopsis have hinted an altered leaf curvature in plants overexpressing miR160-resistant versions of class C ARFs. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1091760/,Natarajan et al.2020
39,miRNA160,Investigating the role of miRNA160 in defence response of potato.,"1.The interaction between miR160 and miR166 in the control of The interaction between miR160 and miR166 in the control of leaf development and drought tolerance in Arabidopsis leaf development and drought tolerance in Arabidopsis .chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://digitalcommons.mtu.edu/cgi/viewcontent.cgi?article=1125&context=biological-fp#:~:text=In%20particular%2C%20miR165%2F166%20and,members%20which%20target%20several%20genes.",KALSI et al.2022
40, Stu-mi164,Lateral root development in potato is mediated by stu-mi164 regulation of NAC transcription factor,"1. In Arabidopsis, miR164 targets several NAC transcription factors, including CUC1, CUC2 (CUP-SHAPED COTYLEDON1/2), and NAC1. One well-documented case is the regulation of NAC1, which plays a role in lateral root development and response to abiotic stress:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1091761/",Zhang et al.2018
41,miR156, Control of Plant Height and Lateral Root Development via Stu-miR156 Regulation of SPL9 Transcription Factor in Potato,"1.Studies on Arabidopsis have found that miR156 targets 11 of the 17 SPL genes .

Numerous studies have shown that miR156 is widely involved in the regulation of leaf shape, lateral root development, flowering time, and the response to drought and other stresses in different species such as Arabidopsis, rice, and tomato.https://onlinelibrary.wiley.com/doi/10.1111/j.1365-313X.2006.02983.x", Luo et al.2024
42,miR166 ,"Implications of miR166  induction to the basal response mechanisms of an andigena potato (Solanum tuberosum subsp. andigena) to salinity stress, predicted from network models in Arabidopsis.",nil,Kitazumi et al.2015
43,miRNA 172,Changes in micro RNA expression in a wild tuber-bearing Solanum species induced by 5-Azacytidine treatment,nil,Marfil et al.2014
44,miR398, MicroRNA398: A Master Regulator of Plant Development and Stress Responses,1.Molecular manipulations of miR398 increase rice grain yield under different conditions.https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.1037604/full,Li et al.2014
45,stu-miR169s, Identification of four novel stu-miR169s and their target genes in Solanum tuberosum and expression profiles response to drought stress,1.The Arabidopsis NFYA5 Transcription Factor Is Regulated Transcriptionally and Posttranscriptionally to Promote Drought Resistance.https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2553615/,Yang et al.2015
46,stu-miR482a-3p, Identification of potassium phosphite responsive miRNAs and their targets in potato,1.Dissecting Phosphite-Induced Priming in Arabidopsis Infected with Hyaloperonospora arabidopsidis   .https://academic.oup.com/plphys/article/159/1/286/6109183,Rey-Burusco et al.2019
47, Stu-miR827,Stu-miR827-Targeted StWRKY48 Transcription Factor Negatively Regulates Drought Tolerance of Potato by Increasing Leaf Stomatal Density.,1.The Arabidopsis GTL1 Transcription Factor Regulates Water Use Efficiency and Drought Tolerance by Modulating Stomatal Density via Transrepression of SDD1 .https://academic.oup.com/plcell/article/22/12/4128/6097007,Yang et al.2022
48,miR395,"In silico identification of candidate microRNAs and their targets in potato somatic hybrid 
Solanum tuberosum (+) S. pinnatisectum for late blight resistance
.","1.miR395 family is a conserved small RNA family that has 
been found in Arabidopsis, rice, wheat, Brassica and many 
plant species. It implicates to a range of plant developmental 
process and abiotic/biotic stress response, as illustrated in 
variety of biological functions in potato .",Singh et al.2016
49,"miR156. A non-coding, non cleavable RNA-Mimic of 
miR156 (MIM156) construct in Solanum tuberosum ssp andigena to obtain miR156
Knockdown",Generation of miR156 knockdown lines and expression analysis of putative miRNAs involved in potato tuberisation,"FLOWERING LOCUS T (FT) protein is the main component of flowering 
hormone signal in Arabidopsis thaliana. A paralogue of this is present in Solanum 
tuberosum ssp andigena, SP6A and is known to have a role in regulating 
tuberisation. The expression of this gene is strongly up-regulated in leaves and 
stolons in plants under short day conditions prior to tuberisation. Under long day 
conditions the expression of SP6A is downregulated by the activity of CONSTANS 
protein mediated by PHYB by an unknown mechanism(Navarro et al., 2011). This 
was proved by the tuberisation of antisense PHYB plants under long day conditions. 
Furthermore it is supported by the absence/late induction of tubers in a short day 
plant over expressing CONSTANS protein.",REVI et al.2015
50,artificial miRNAs (amiRNAs) - vd-sRNAs derived from the virulence modulating region of PSTVd,Silencing of transcription factor encoding gene StTCP23 by small RNAs derived from the virulence modulating region of potato spindle tuber viroid is associated with symptom development in potato,nil,Bao et al.2019
51,miR159,The control of developmental phase transitions by microRNAs and their targets in seed plants,1.the juvenile-to-adult transition is featured by the formation of leaf abaxial trichomes and increased leaf length/width ratio and serration in Arabidopsis.https://pubmed.ncbi.nlm.nih.gov/30079076/,Ma et al.2019
52,miR482," Evolutionarily Dynamic, but Robust, Targeting of Resistance Genes by the miR482Gene Family in the Solanaceae .",1.Evolution of Arabidopsis microRNA families through duplication events.https://pubmed.ncbi.nlm.nih.gov/16520461/,Vries et al.2015
